"ICAO","IATA","long","lat"
"00AK",NA,-151.696,59.9492
"00AL",NA,-86.7703,34.8648
"00AS",NA,-97.818019,34.942803
"00AZ",NA,-112.165,34.3056
"00CL",NA,-121.7634,39.4272
"00FA",NA,-82.219,28.6455
"00FL",NA,-80.9692,27.2309
"00GA",NA,-84.0683,33.7675
"00ID",NA,-116.214,48.1453
"00IG",NA,-101.395994,39.724028
"00IL",NA,-89.5604,41.9784
"00IS",NA,-89.1229,40.0256
"00KS",NA,-94.9305,38.7278
"00MD",NA,-75.7538,38.7571
"00MN",NA,-95.700302,46.299999
"00NC",NA,-78.3714,36.0852
"00NY",NA,-77.4997,42.9001
"00OH",NA,-84.142197,41.5909
"00PN",NA,-80.2111,41.2995
"00SC",NA,-80.2672,34.0094
"00TS",NA,-97.242,32.6076
"00VA",NA,-78.9992,36.576
"00VI",NA,-80.499496,36.6633
"00WA",NA,-122.772,47.1784
"00WI",NA,-89.0501,44.3043
"00WN",NA,-117.249001,46.25
"00XS",NA,-101.933998,33.033401
"01AL",NA,-86.5139,32.946
"01CL",NA,-120.734,38.7999
"01FA",NA,-81.1442,28.5894
"01FL",NA,-81.1592,28.7819
"01G",NA,-78.0521,42.7413
"01IA",NA,-90.7413,41.6611
"01II",NA,-86.5067,39.885
"01IS",NA,-90.3182,39.0162
"01KS",NA,-97.003304,38.5406
"01LL",NA,-89.4639,38.1258
"01NC",NA,-77.581398,34.4753
"01NH",NA,-72.087,43.6445
"01PN",NA,-77.7389,40.9306
"01PS",NA,-76.0296,41.5959
"01SC",NA,-81.2528,35.0321
"01TE",NA,-96.428,32.7376
"01TX",NA,-96.8775,32.3876
"01UT",NA,-109.396004,38.3083
"01VA",NA,-77.925,39.125
"01WI",NA,-90.3892,44.01
"02A",NA,-86.6114,32.8505
"02AK",NA,-150.098,61.8769
"02C",NA,-88.1782,43.0902
"02CL",NA,-119.059,34.7611
"02FA",NA,-81.8748,28.5267
"02G",NA,-80.6414,40.6733
"02GA",NA,-83.429,34.2026
"02GE",NA,-84.9244,34.1753
"02II",NA,-86.2105,40.0623
"02IN",NA,-85.5408,40.2089
"02KS",NA,-96.0553,39.2222
"02MD",NA,-76.7097,38.6725
"02ME",NA,-70.9294,43.5373
"02MI",NA,-85.1485,43.1571
"02MN",NA,-96.192001,48.6833
"02MO",NA,-91.0335,39.05
"02MU",NA,-93.7974,36.6542
"02NE",NA,-96.9045,41.0745
"02OH",NA,-83.083298,41.3764
"02OI",NA,-80.565399,41.801998
"02OR",NA,-121.316002,45.681499
"02TN",NA,-86.584198,35.780602
"02TX",NA,-101.922882,33.370403
"02VA",NA,-77.8572,38.4357
"02WA",NA,-122.094,47.1523
"02WI",NA,-92.6558,45.0319
"02WN",NA,-119.319,48.7458
"02XS",NA,-97.6628,30.1477
"03AZ",NA,-110.084,31.433399
"03CO",NA,-104.744,40.2125
"03D",NA,-92.227,40.4473
"03FA",NA,-81.4081,27.3531
"03G",NA,-80.0706,42.0206
"03IA",NA,-92.4613,41.5819
"03IL",NA,-87.8167,41.4023
"03IN",NA,-86.0125,40.18
"03KY",NA,-87.541397,37.791698
"03MA",NA,-72.552,42.3931
"03ME",NA,-70.627296,44.084202
"03MU",NA,-94.4125,38.4925
"03NC",NA,-77.904198,34.104301
