"ICAO","IATA","airport","city","nation"
"AGAF","AFT","阿富塔拉機場","阿富塔拉，馬萊塔省","所羅門群島"
"AGAT","ATD","烏魯港機場","Atoifi，馬萊塔島","所羅門群島"
"AGBT","BPF","Batuna機場","Batuna","所羅門群島"
"AGEV","GEF","Geva機場","維拉拉維拉島，西部省","所羅門群島"
"AGGA","AKS","奧基機場","奧基","所羅門群島"
"AGGB","BNY","貝羅納機場","拉納爾和貝羅納省貝羅納島","所羅門群島"
"AGGC","CHY","舒瓦瑟爾灣機場","舒瓦瑟爾灣","所羅門群島"
"AGGE","BAS","巴拉萊機場","西部省巴拉萊島","所羅門群島"
"AGGF","FRE","費拉機場","費拉島","所羅門群島"
"AGGJ","AVU","Avu Avu機場","Avu Avu","所羅門群島"
"AGGS","EGM","Seghe機場","Seghe，西部省","所羅門群島"
"AGGY","XYA","揚迪納機場","Yandina","索羅門群島"
"ANYN","INU","諾魯國際機場","亞倫","諾魯"
"AYAF","AFR","阿弗爾機場","阿弗爾","巴布亞新幾內亞"
"AYAN","ADC","安達坎貝機場","安達坎貝，東高地省","巴布亞新幾內亞"
"AYAX","AEK","阿薩基機場","阿薩基","巴布亞新幾內亞"
"AYBC","BCP","Bambu機場","Bambu","巴布亞新幾內亞"
"AYBD","BNM","Bodinumu機場","Bodinumu","巴布亞新幾內亞"
"AYBF","BMZ","Bamu機場","Bamu","巴布亞新幾內亞"
"AYBG","BDZ","Baindoung機場","Baindoung","巴布亞新幾內亞"
"AYBH","BSP","Bensbach機場","Bensbach，西部省","巴布亞新幾內亞"
"AYBI","BWP","貝瓦尼機場","桑道恩省 貝瓦尼","巴布亞新幾內亞"
"AYBK","BUA","布卡機場","布幹維爾自治區布卡島","巴布亞新幾內亞"
"AYBL","BAA","Bialla機場","Bialla","巴布亞新幾內亞"
"AYBO","BMH","Bomai機場","Bomai","巴布亞新幾內亞"
"AYBP","BPD","Bapi機場","Bapi","巴布亞新幾內亞"
"AYBQ","BPK","Biangabip機場","Biangabip，西部省","巴布亞新幾內亞"
"AYBR","BRP","Biaru機場","Biaru","巴布亞新幾內亞"
"AYBU","BUL","布洛洛機場","莫雷貝省布洛洛","巴布亞新幾內亞"
"AYCB","CVB","Chungrebu機場","Chungrebu","巴布亞新幾內亞"
"AYCG","CGC","告士打角機場","告士打角","巴布亞新幾內亞"
"AYCH","CMU","欽布機場","孔迪亞瓦，欽布省","巴布亞新幾內亞"
"AYDB","DBP","Debepare機場","Debepare","巴布亞新幾內亞"
"AYDE","DER","Derim機場","Derim","巴布亞新幾內亞"
"AYDI","BNT","本迪機場","本迪","巴布亞新幾內亞"
"AYDN","DNU","Dinangat機場","Dinangat","巴布亞新幾內亞"
"AYDO","DOI","Doini島機場","Doini島","巴布亞新幾內亞"
"AYDR","DOO","Dorobisoro機場","Dorobisoro","巴布亞新幾內亞"
"AYDU","DAU","達魯機場","達魯，西部省","巴布亞新幾內亞"
"AYEB","EMS","Embessa機場","Embessa","巴布亞新幾內亞"
"AYEE","EMI","埃米勞機場","埃米勞島，新愛爾蘭省","巴布亞新幾內亞"
"AYEF","EFG","埃福吉機場","埃福吉","巴布亞新幾內亞"
"AYEL","EPT","Eliptamin機場","Eliptamin","巴布亞新幾內亞"
"AYEN","EGA","Engati機場","Engati","巴布亞新幾內亞"
"AYEO","EMO","Emo機場","Emo","巴布亞新幾內亞"
"AYER","ERU","Erume機場","Erume","巴布亞新幾內亞"
"AYET","BOT","Bosset機場","Bosset","巴布亞新幾內亞"
